+======================+======================+=====================+
| Launch Setup Clock   | Launch Hold Clock    | Pin                 |
+======================+======================+=====================+
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_y_reg[3]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_y_reg[5]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_x_reg[0]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_x_reg[5]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_x_reg[6]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_y_reg[1]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_x_reg[9]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_x_reg[3]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_y_reg[0]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_x_reg[8]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_x_reg[7]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_x_reg[4]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_y_reg[4]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_y_reg[2]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_y_reg[9]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_y_reg[6]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_y_reg[8]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_x_reg[1]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_y_reg[7]/D |
| clk_100MHz_clk_wiz_0 | clk_100MHz_clk_wiz_0 | s_cursor_x_reg[2]/D |
+----------------------+----------------------+---------------------+
